date | value
2011-01-03 | 
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 |     
2012-01-11
2012-01-11 | 2.ssss
2012-01-11 | www

2011-01-03 | 1.2f
2012-01-03 | 1.2ff
2008-01-13 | 2
2024-01-13 | 3
2012-01-13|
2012-01-11 |3
201 1-01-03 | 2
2001-1-01-03 | 2
2011-01-01|3
2011-01-02 |d
2011-01-01 |           3
2009-01-02 | 2
2009-01-03 | 2
blabla




2022-03-29 | 0.1
| 0.1
   | 1.1
2024-01-08 | 
2025-03-08 | 0.1
2001-09-11 | 1.1
2017-02-29 | 3.6
2018-14-15 | 3.6
2018-07-42 | 3.6
2025-03-29 | 0.1
2010-01-01 | -0.2
2010-01-01 | -3.14
2010-01-01 | 1000.1
2010-01-01 | 2147483647

